1,"Garçu, Le",49
2,"See You in Hell, My Darling (Tha se do stin Kolasi, agapi mou)",42
3,Die Fischerin,24
4,Ip Man: The Final Fight,13
5,Shifty,45
6,Deep Rising,16
7,Diana,46
8,Pinocchio,21
9,"Homem Que Desafiou o Diabo, O",38
10,None But the Brave,19
11,Step Up 2 the Streets,12
12,Boy (Shônen),40
13,In a Glass Cage (Tras el cristal),10
14,Lost & Found,8
15,The Front,12
16,Streets of Laredo,43
17,Under the Bridges (Unter den Brücken),45
18,The Adventures of Tartu,49
19,"Phenix City Story, The",47
20,Bopha!,14
21,Roommates,45
22,"After Fall, Winter",54
23,I Wanna Hold Your Hand,52
24,"Thieves, The (Dodookdeul)",23
25,"Longest Yard, The",47
26,"Great Mouse Detective, The",29
27,Assassination of a High School President,11
28,Escape Plan,53
29,"Murder of Fred Hampton, The",12
30,Dangerous Game,15
31,"Joker Is Wild, The (All the Way)",18
32,Nothing Left to Fear,39
33,Slave Girls (Prehistoric Women),26
34,Take the Money and Run,32
35,Wing Chun,41
36,Buffalo Soldiers,49
37,How I Got Into College,43
38,Deficit (Déficit),32
39,Red Tails,12
40,Bag It,13
41,Film Geek,31
42,Amorosa,8
43,William S. Burroughs: A Man Within,25
44,"War, The",10
45,"Hard, Fast and Beautiful",12
46,Man Is Not a Bird (Covek nije tica),24
47,Mesrine: Killer Instinct (L'instinct de mort),47
48,Captain Video: Master of the Stratosphere,9
49,Clash of the Wolves,34
50,Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia),29
51,Revenge of the Nerds,54
52,Digging to China,53
53,Jay and Silent Bob Strike Back,45
54,Kill Me Later,16
55,Earth vs. the Flying Saucers,15
56,Brokedown Palace,47
57,Lulu in Berlin,11
58,Who Killed the Electric Car?,5
59,Hobson's Choice,21
60,Trailer Park Boys: The Movie,43
61,No One Dies in Lily Dale,36
62,"World Apart, A",25
63,New Year's Eve,43
64,"Hunchback of Notre Dame, The",42
65,No Way to Treat a Lady,7
66,Proof of Life,28
67,Unfinished Business,51
68,Only the Lonely,22
69,"Secret Six, The",43
70,Buffy the Vampire Slayer,14
71,In the Bleak Midwinter,15
72,Chattahoochee,28
73,Blissfully Yours (Sud sanaeha),9
74,Long Live Death (Viva la muerte),24
75,A Promise,43
76,Master and Commander: The Far Side of the World,16
77,Ballad of the Paper Balloons (a.k.a. Humanity and Paper Balloons) (Ninjô kami fûsen),45
78,Thomasine & Bushrod,35
79,Something to Sing About,45
80,She,50
81,Third World Cop,21
82,She Monkeys,36
83,"Premature Burial, The",42
84,Willow Creek,51
85,Summertime,51
86,Spaced Invaders,7
87,Flight Command,45
88,And Now a Word from Our Sponsor,42
89,Klip (Clip),50
90,Crows Zero II (Kurôzu Zero II),21
91,Samaritan Zatoichi (Zatôichi kenka-daiko) (Zatôichi 19),7
92,Rise of the Zombies,27
93,Caramel (Sukkar banat),49
94,Lucifer Rising,25
95,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",18
96,War Dance,23
97,"Princess Diaries 2: Royal Engagement, The",29
98,"Stepford Wives, The",30
99,Rhinestone,34
100,Finding Vivian Maier,41
101,Mickey's The Prince and the Pauper,34
102,Sparks,45
103,Tyler Perry's Daddy's Little Girls,49
104,Ingmar Bergman on Life and Work (Ingmar Bergman: Om liv och arbete),52
105,Baxter,47
106,Street Scenes ,35
107,Berserk,51
108,"Awful Truth, The",54
109,Bed of Roses,22
110,Kaksi kotia (Dagmamman),46
111,"Tribe, The (Plemya)",8
112,Grief,31
113,Bela Kiss: Prologue,15
114,Disorderlies,41
115,"Night Out, A",18
116,Border Feud,35
117,Bootmen,21
118,Kit Kittredge: An American Girl,41
119,"Keeper, The",49
120,"Wood, The",7
121,101 Dalmatians (One Hundred and One Dalmatians),36
122,"Dead Zone, The",28
123,Slumdog Millionaire,39
124,Barbary Coast,39
125,Mantle,7
126,A Matador's Mistress,16
127,Are We Done Yet?,53
128,The Four Feathers,46
129,"Joy Luck Club, The",14
130,Operation 'Y' & Other Shurik's Adventures,21
131,Eternally Yours,50
132,The Disappearance of Eleanor Rigby: Her,39
133,Erasing David,27
134,Love in the Afternoon (Chloe in the Afternoon)  (L'amour l'après-midi),51
135,"Water Horse: Legend of the Deep, The",17
136,Me Myself I,17
137,Detective (Détective),10
138,Mon Paradis - Der Winterpalast,49
139,Liliom,40
140,Bad Boy (Dawg),51
141,Pronto,25
142,Black Rain (Kuroi ame),14
143,"Lady with the Dog, The (Dama s sobachkoy)",20
144,Carmen Miranda: Bananas Is My Business,47
145,Léolo,28
146,Operation Petticoat,32
147,"Devil's Nightmare, The (Plus longue nuit du diable, La)",45
148,Everything Is Illuminated,8
149,12:08 East of Bucharest (A fost sau n-a fost?),8
150,"American Crime, An",48
151,Something Ventured,43
152,Fiend with the Electronic Brain (Blood of Ghastly Horror),6
153,"World Before Her, The",24
154,"Gentleman's Game, A",48
155,"Kid, The",5
156,"Last Blitzkrieg, The",34
157,Wild Man Blues,31
158,The Hire: Chosen,32
159,Territories ,36
160,Uncle Buck,49
161,My Tutor,17
162,Evil Aliens,19
163,"Likeable Mister R, The (Simpaticul domn R)",37
164,"Walk to Remember, A",29
165,No Looking Back,47
166,"Hospital, The",26
167,Topaze,19
168,Conquest 1453 (Fetih 1453),29
169,Love and Pigeons,5
170,Essex Boys,39
171,Heartbeeps,43
172,"Enemies of Reason, The",33
173,October Country,27
174,"Holcroft Covenant, The",37
175,Blue Crush,21
176,The Girl from Nagasaki,41
177,April Fool's Day,43
178,Momma's Man,14
179,The Bloodstained Butterfly,52
180,"School of Flesh, The (École de la chair, L')",25
181,B*A*P*S,33
182,Black Venus,37
183,Hero at Large,10
184,Breaker Morant,11
185,Abbott and Costello Meet Captain Kidd,14
186,12:01,22
187,"Pawnbroker, The",24
188,Hotel for Dogs,14
189,Los Marziano,53
190,Belle époque,36
191,Music Within,34
192,Beauty and the Beast,16
193,Providence,38
194,"Children, The",37
195,Games,50
196,Easy Wheels,28
197,Ursul,17
198,Wicked Little Things,19
199,"Perfect Murder, A",17
200,Beyond the Poseidon Adventure,20
201,Crossing Delancey,20
202,Thunder Bay,53
203,Body and Soul,40
204,Fawlty Towers (1975-1979),35
205,Hansel & Gretel,13
206,Sleeping Beauty,17
207,Frontier of the Dawn (La frontière de l'aube),30
208,Dr. Who and the Daleks,31
209,"Amour fou, L'",37
